Time[s];Supply_P[bar];R1_P[bar];EPU_P[bar];T1_P[bar]
0.5015;10.0000;0.0000;0.0000;0.0000
0.5027;10.0000;0.0000;0.0000;0.0000
0.5040;10.0000;0.0000;0.0000;0.0000
0.5052;10.0000;0.0000;0.0000;0.0000
0.5065;10.0000;0.0000;0.0000;0.0000
0.5077;10.0000;0.0000;0.0000;0.0000
0.5090;10.0000;0.0000;0.0000;0.0000
0.5102;10.0000;0.0000;0.0000;0.0000
0.5115;10.0000;0.0000;0.0000;0.0000
0.5127;10.0000;0.0000;0.0000;0.0000
0.5140;10.0000;0.0000;0.0000;0.0000
0.5152;10.0000;0.0000;0.0000;0.0000
0.5165;10.0000;0.0000;0.0000;0.0000
0.5177;10.0000;0.0000;0.0000;0.0000
0.5190;10.0000;0.0000;0.0000;0.0000
0.5202;10.0000;0.0000;0.0000;0.0000
0.5215;10.0000;0.0000;0.0000;0.0000
0.5227;10.0000;0.0000;0.0000;0.0000
0.5240;10.0000;0.0000;0.0000;0.0000
0.5252;10.0000;0.0000;0.0000;0.0000
0.5265;10.0000;0.0000;0.0000;0.0000
0.5277;10.0000;0.0000;0.0000;0.0000
0.5290;10.0000;0.0000;0.0000;0.0000
0.5302;10.0000;0.0000;0.0000;0.0000
0.5315;10.0000;0.0000;0.0000;0.0000
0.5327;10.0000;0.0000;0.0000;0.0000
0.5340;10.0000;0.0000;0.0000;0.0000
0.5352;10.0000;0.0000;0.0000;0.0000
0.5365;10.0000;0.0000;0.0000;0.0000
0.5377;10.0000;0.0000;0.0000;0.0000
0.5390;10.0000;0.0000;0.0000;0.0000
0.5402;10.0000;0.0000;0.0000;0.0000
0.5415;10.0000;0.0000;0.0000;0.0000
0.5427;10.0000;0.0000;0.0000;0.0000
0.5440;10.0000;0.0000;0.0000;0.0000
0.5452;10.0000;0.0000;0.0000;0.0000
0.5465;10.0000;0.0000;0.0000;0.0000
0.5477;10.0000;0.0000;0.0000;0.0000
0.5490;10.0000;0.0000;0.0000;0.0000
0.5502;10.0000;0.0000;0.0000;0.0000
0.5515;10.0000;0.0000;0.0000;0.0000
0.5527;10.0000;0.0000;0.0000;0.0000
0.5540;10.0000;0.0000;0.0000;0.0000
0.5552;10.0000;0.0000;0.0000;0.0000
0.5565;10.0000;0.0000;0.0000;0.0000
0.5577;10.0000;0.0000;0.0000;0.0000
0.5590;10.0000;0.0000;0.0000;0.0000
0.5602;10.0000;0.0000;0.0000;0.0000
0.5615;10.0000;0.0000;0.0000;0.0000
0.5627;10.0000;0.0000;0.0000;0.0000
0.5640;10.0000;0.0000;0.0000;0.0000
0.5652;10.0000;0.0000;0.0000;0.0000
0.5665;10.0000;0.0000;0.0000;0.0000
0.5677;10.0000;0.0000;0.0000;0.0000
