Time[s];Supply_P[bar];EPU_P[bar];R1_P[bar];R2_P[bar];R3_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.1913;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1923;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1933;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1943;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1953;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1963;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1973;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1983;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1993;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2003;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2013;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2023;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2033;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2043;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2053;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2063;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2073;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2083;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2093;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2103;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2113;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2123;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2133;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2143;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2153;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2163;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2173;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2183;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2193;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2203;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2213;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
