Time[s];Supply_P[bar];Exhaust_P[bar];CV1_P[bar];R1_P[bar];R2_P[bar];Junction_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.1303;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1313;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1323;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1333;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1343;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1353;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1363;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1373;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1383;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1393;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1403;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1413;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1423;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1433;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1443;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1453;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1463;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1473;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1483;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1493;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1503;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1513;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1523;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1533;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1543;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1553;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1563;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1573;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
